innings,player_dismissed,date,season,batting_team,striker,wicket_type,bowling_team,runs_of_bat,over,match_no,match_id,noballs,extras,legbyes,bowler,byes,fielder,venue,wide
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,4,1.4,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,1.5,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,1.6,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Devon Conway,,KKR,1,2.1,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,6,2.2,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,2.3,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,2.4,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,1,2.5,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Devon Conway,,KKR,0,2.6,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,1,3.1,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Devon Conway,,KKR,0,3.2,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Devon Conway,,KKR,1,3.3,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,6,3.4,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,3.5,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,4,3.6,1,202201,0,0,0,Shivam Mavi,0,,"Wankhede Stadium, Mumbai",0
1,Devon Conway,"Mar 26, 2022",2022,CSK,Devon Conway,caught,KKR,0,4.1,1,202201,0,0,0,Umesh Yadav,0,Shreyas Iyer,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Rayudu,,KKR,0,4.2,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Rayudu,,KKR,0,4.3,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Rayudu,,KKR,0,4.4,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Rayudu,,KKR,1,4.5,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,0,4.6,1,202201,0,0,0,Umesh Yadav,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Rayudu,,KKR,1,5.1,1,202201,0,0,0,Varun Chakaravarthy,0,,"Wankhede Stadium, Mumbai",0
1,,"Mar 26, 2022",2022,CSK,Uthappa,,KKR,1,5.2,1,202201,0,0,0,Varun Chakaravarthy,0,,"Wankhede Stadium, Mumbai",0
